both,row,col,6oct,23nov,30nov,28dec
0000,00,00,null,null,null,null
0001,00,01,null,null,null,null
0002,00,02,null,null,null,null
0003,00,03,null,null,null,null
0004,00,04,null,null,null,null
0005,00,05,null,null,null,null
0006,00,06,null,null,null,null
0007,00,07,null,null,null,null
0008,00,08,null,null,null,null
0009,00,09,null,null,null,null
0010,00,10,null,null,null,null
0011,00,11,null,null,null,null
0012,00,12,null,null,null,null
0013,00,13,null,null,null,null
0014,00,14,null,null,null,null
0015,00,15,null,null,null,null
0016,00,16,null,null,null,null
0017,00,17,null,null,null,null
0018,00,18,null,null,null,null
0019,00,19,null,null,null,null
0020,00,20,null,null,null,null
0021,00,21,null,null,null,null
0022,00,22,null,null,null,null
0023,00,23,null,null,null,null
0024,00,24,null,null,null,null
0025,00,25,97.8,18.16666667,37,76
0026,00,26,null,null,null,null
0027,00,27,null,null,null,null
0028,00,28,null,null,null,null
0029,00,29,null,null,null,null
0030,00,30,null,null,null,null
0031,00,31,null,null,null,null
0032,00,32,null,null,null,null
0100,01,00,null,null,null,null
0101,01,01,null,null,null,null
0102,01,02,null,null,null,null
0103,01,03,null,null,null,null
0104,01,04,null,null,null,null
0105,01,05,null,null,null,null
0106,01,06,null,null,null,null
0107,01,07,null,null,null,null
0108,01,08,null,null,null,null
0109,01,09,null,null,null,null
0110,01,10,null,null,null,null
0111,01,11,null,null,null,null
0112,01,12,null,null,null,null
0113,01,13,null,null,null,null
0114,01,14,null,null,null,null
0115,01,15,null,null,null,null
0116,01,16,null,null,null,null
0117,01,17,null,null,null,null
0118,01,18,null,null,null,null
0119,01,19,null,null,null,null
0120,01,20,null,null,null,null
0121,01,21,null,null,null,null
0122,01,22,null,null,null,null
0123,01,23,null,null,null,null
0124,01,24,null,null,null,null
0125,01,25,108.3,17.5,39.25,67.5
0126,01,26,106.1111111,18.66666667,44,83
0127,01,27,null,null,null,null
0128,01,28,null,null,null,null
0129,01,29,null,null,null,null
0130,01,30,null,null,null,null
0131,01,31,null,null,null,null
0132,01,32,null,null,null,null
0200,02,00,null,null,null,null
0201,02,01,null,null,null,null
0202,02,02,null,null,null,null
0203,02,03,null,null,null,null
0204,02,04,null,null,null,null
0205,02,05,null,null,null,null
0206,02,06,null,null,null,null
0207,02,07,null,null,null,null
0208,02,08,null,null,null,null
0209,02,09,null,null,null,null
0210,02,10,null,null,null,null
0211,02,11,null,null,null,null
0212,02,12,null,null,null,null
0213,02,13,null,null,null,null
0214,02,14,null,null,null,null
0215,02,15,null,null,null,null
0216,02,16,null,null,null,null
0217,02,17,null,null,null,null
0218,02,18,null,null,null,null
0219,02,19,null,null,null,null
0220,02,20,null,null,null,null
0221,02,21,null,null,null,null
0222,02,22,null,null,null,null
0223,02,23,null,null,null,null
0224,02,24,106.7083333,19.83333333,33.66666667,70.83333333
0225,02,25,110.7933333,17.16666667,38.16666667,71.5
0226,02,26,106.7222222,18.22222222,38.88888889,73.22222222
0227,02,27,109.4166667,18.66666667,41,79.66666667
0228,02,28,109.8555556,21.88888889,50.11111111,86.22222222
0229,02,29,null,null,null,null
0230,02,30,null,null,null,null
0231,02,31,null,null,null,null
0232,02,32,null,null,null,null
0300,03,00,null,null,null,null
0301,03,01,null,null,null,null
0302,03,02,null,null,null,null
0303,03,03,null,null,null,null
0304,03,04,null,null,null,null
0305,03,05,null,null,null,null
0306,03,06,null,null,null,null
0307,03,07,null,null,null,null
0308,03,08,null,null,null,null
0309,03,09,null,null,null,null
0310,03,10,null,null,null,null
0311,03,11,null,null,null,null
0312,03,12,null,null,null,null
0313,03,13,null,null,null,null
0314,03,14,null,null,null,null
0315,03,15,null,null,null,null
0316,03,16,null,null,null,null
0317,03,17,null,null,null,null
0318,03,18,null,null,null,null
0319,03,19,null,null,null,null
0320,03,20,null,null,null,null
0321,03,21,null,null,null,null
0322,03,22,null,null,null,null
0323,03,23,120.4333333,22.33333333,31.5,63.33333333
0324,03,24,129.9,20,40.25,72.5
0325,03,25,116.2666667,17,39,73.5
0326,03,26,115.2,17.16666667,35.66666667,72.5
0327,03,27,115.45,17.5,38,69.75
0328,03,28,115.2333333,20.5,43.33333333,80.83333333
0329,03,29,111.15,40,81,145.75
0330,03,30,null,null,null,null
0331,03,31,null,null,null,null
0332,03,32,null,null,null,null
0400,04,00,null,null,null,null
0401,04,01,null,null,null,null
0402,04,02,null,null,null,null
0403,04,03,null,null,null,null
0404,04,04,null,null,null,null
0405,04,05,null,null,null,null
0406,04,06,null,null,null,null
0407,04,07,null,null,null,null
0408,04,08,null,null,null,null
0409,04,09,null,null,null,null
0410,04,10,null,null,null,null
0411,04,11,null,null,null,null
0412,04,12,null,null,null,null
0413,04,13,null,null,null,null
0414,04,14,null,null,null,null
0415,04,15,null,null,null,null
0416,04,16,null,null,null,null
0417,04,17,null,null,null,null
0418,04,18,null,null,null,null
0419,04,19,null,null,null,null
0420,04,20,null,null,null,null
