both,row,col,23nov,30nov,28dec,20may
0432,04,32,null,null,null,null
0500,05,00,null,null,null,null
0501,05,01,null,null,null,null
0502,05,02,null,null,null,null
0503,05,03,null,null,null,null
0504,05,04,null,null,null,null
0505,05,05,null,null,null,null
0506,05,06,null,null,null,null
0507,05,07,null,null,null,null
0508,05,08,null,null,null,null
0509,05,09,null,null,null,null
0510,05,10,null,null,null,null
0511,05,11,null,null,null,null
0512,05,12,null,null,null,null
0513,05,13,null,null,null,null
0514,05,14,null,null,null,null
0515,05,15,null,null,null,null
0516,05,16,null,null,null,null
0517,05,17,null,null,null,null
0518,05,18,null,null,null,null
0519,05,19,null,null,null,null
0520,05,20,null,null,null,null
0521,05,21,null,null,null,null
0522,05,22,478,1,480,0
0523,05,23,554,0,549,119
0524,05,24,487,22,530,359
0525,05,25,405,28,480,374
0526,05,26,409,52,585,505
0527,05,27,270,51,422,482
0528,05,28,282,10,335,552
0529,05,29,321,7,342,542
0530,05,30,114,1,116,447
0531,05,31,0,0,0,598
0532,05,32,null,null,null,null
0600,06,00,null,null,null,null
0601,06,01,null,null,null,null
0602,06,02,null,null,null,null
0603,06,03,null,null,null,null
0604,06,04,null,null,null,null
0605,06,05,null,null,null,null
0606,06,06,null,null,null,null
0607,06,07,null,null,null,null
0608,06,08,null,null,null,null
0609,06,09,null,null,null,null
0610,06,10,null,null,null,null
0611,06,11,null,null,null,null
0612,06,12,null,null,null,null
0613,06,13,null,null,null,null
0614,06,14,null,null,null,null
0615,06,15,null,null,null,null
0616,06,16,null,null,null,null
0617,06,17,null,null,null,null
0618,06,18,null,null,null,null
0619,06,19,null,null,null,null
0620,06,20,null,null,null,null
0621,06,21,475,1,478,0
0622,06,22,587,19,619,22
0623,06,23,412,86,584,538
0624,06,24,404,75,598,416
0625,06,25,314,126,580,619
0626,06,26,418,70,624,478
0627,06,27,283,34,462,624
0628,06,28,71,13,88,599
0629,06,29,363,10,388,617
0630,06,30,517,4,531,582
0631,06,31,22,0,20,108
0632,06,32,0,0,0,488
0700,07,00,null,null,null,null
0701,07,01,null,null,null,null
0702,07,02,null,null,null,null
0703,07,03,null,null,null,null
0704,07,04,null,null,null,null
0705,07,05,null,null,null,null
0706,07,06,null,null,null,null
0707,07,07,null,null,null,null
0708,07,08,null,null,null,null
0709,07,09,null,null,null,null
0710,07,10,null,null,null,null
0711,07,11,null,null,null,null
0712,07,12,null,null,null,null
0713,07,13,null,null,null,null
0714,07,14,null,null,null,null
0715,07,15,null,null,null,null
0716,07,16,null,null,null,null
0717,07,17,null,null,null,null
0718,07,18,null,null,null,null
0719,07,19,null,null,null,null
0720,07,20,283,34,327,0
0721,07,21,453,103,622,90
0722,07,22,450,61,607,35
0723,07,23,294,68,534,180
0724,07,24,182,56,503,607
0725,07,25,250,84,577,566
0726,07,26,327,34,516,624
0727,07,27,242,31,333,362
0728,07,28,97,13,144,378
0729,07,29,25,1,26,547
0730,07,30,70,2,61,607
0731,07,31,0,0,0,596
0732,07,32,null,null,null,null
0800,08,00,null,null,null,null
0801,08,01,null,null,null,null
0802,08,02,null,null,null,null
0803,08,03,null,null,null,null
0804,08,04,null,null,null,null
0805,08,05,null,null,null,null
0806,08,06,null,null,null,null
0807,08,07,null,null,null,null
0808,08,08,null,null,null,null
0809,08,09,null,null,null,null
0810,08,10,null,null,null,null
0811,08,11,null,null,null,null
0812,08,12,null,null,null,null
0813,08,13,null,null,null,null
0814,08,14,null,null,null,null
0815,08,15,null,null,null,null
0816,08,16,null,null,null,null
0817,08,17,null,null,null,null
0818,08,18,null,null,null,null
0819,08,19,null,null,null,null
0820,08,20,452,42,524,0
0821,08,21,339,65,542,0
0822,08,22,240,28,592,1
0823,08,23,223,33,526,610
0824,08,24,222,52,459,609
0825,08,25,401,23,466,612
0826,08,26,141,2,240,528
0827,08,27,27,13,56,579
0828,08,28,0,0,0,0
0829,08,29,0,0,0,82
0830,08,30,0,0,0,284
0831,08,31,0,0,0,484
0832,08,32,null,null,null,null
0900,09,00,null,null,null,null
0901,09,01,null,null,null,null
0902,09,02,null,null,null,null
0903,09,03,null,null,null,null
0904,09,04,null,null,null,null
0905,09,05,null,null,null,null
0906,09,06,null,null,null,null
0907,09,07,null,null,null,null
0908,09,08,null,null,null,null
0909,09,09,null,null,null,null
0910,09,10,null,null,null,null
0911,09,11,null,null,null,null
0912,09,12,null,null,null,null
0913,09,13,null,null,null,null
0914,09,14,null,null,null,null
0915,09,15,null,null,null,null
0916,09,16,null,null,null,null
0917,09,17,null,null,null,null
0918,09,18,null,null,null,null
0919,09,19,545,2,553,37
0920,09,20,503,22,573,85
0921,09,21,454,67,589,604
0922,09,22,268,52,511,620
0923,09,23,213,35,543,555
0924,09,24,271,33,437,615
0925,09,25,56,5,68,542
0926,09,26,29,0,28,609
0927,09,27,1,0,2,0
0928,09,28,0,0,0,0
0929,09,29,0,0,0,19
0930,09,30,null,null,null,null
0931,09,31,null,null,null,null
0932,09,32,null,null,null,null
1000,10,00,null,null,null,null
1001,10,01,null,null,null,null
1002,10,02,null,null,null,null
1003,10,03,null,null,null,null
1004,10,04,null,null,null,null
1005,10,05,null,null,null,null
1006,10,06,null,null,null,null
1007,10,07,null,null,null,null
1008,10,08,null,null,null,null
1009,10,09,null,null,null,null
1010,10,10,null,null,null,null
1011,10,11,null,null,null,null
1012,10,12,null,null,null,null
1013,10,13,null,null,null,null
1014,10,14,null,null,null,null
1015,10,15,null,null,null,null
1016,10,16,null,null,null,null
1017,10,17,null,null,null,null
1018,10,18,222,5,231,26
1019,10,19,456,13,481,0
1020,10,20,405,17,466,249
1021,10,21,488,51,582,612
1022,10,22,408,40,598,610
1023,10,23,354,33,610,498
1024,10,24,328,39,611,596
1025,10,25,178,4,231,614
1026,10,26,0,0,0,259
1027,10,27,2,0,7,516
1028,10,28,null,null,null,null
1029,10,29,null,null,null,null
1030,10,30,null,null,null,null
1031,10,31,null,null,null,null
1032,10,32,null,null,null,null
1100,11,00,null,null,null,null
1101,11,01,null,null,null,null
1102,11,02,null,null,null,null
1103,11,03,null,null,null,null
1104,11,04,null,null,null,null
1105,11,05,null,null,null,null
1106,11,06,null,null,null,null
1107,11,07,null,null,null,null
1108,11,08,null,null,null,null
1109,11,09,null,null,null,null
1110,11,10,null,null,null,null
1111,11,11,null,null,null,null
1112,11,12,null,null,null,null
1113,11,13,null,null,null,null
1114,11,14,null,null,null,null
1115,11,15,null,null,null,null
1116,11,16,null,null,null,null
1117,11,17,7,1,28,73
1118,11,18,32,3,33,614
1119,11,19,84,0,115,566
1120,11,20,182,29,265,198
1121,11,21,346,32,465,473
1122,11,22,330,50,537,44
1123,11,23,562,6,605,320
1124,11,24,452,6,465,507
1125,11,25,56,0,55,66
1126,11,26,null,null,null,null
1127,11,27,null,null,null,null
1128,11,28,null,null,null,null
1129,11,29,null,null,null,null
1130,11,30,null,null,null,null
1131,11,31,null,null,null,null
1132,11,32,null,null,null,null
1200,12,00,null,null,null,null
1201,12,01,null,null,null,null
1202,12,02,null,null,null,null
1203,12,03,null,null,null,null
1204,12,04,null,null,null,null
1205,12,05,null,null,null,null
1206,12,06,null,null,null,null
1207,12,07,null,null,null,null
1208,12,08,null,null,null,null
1209,12,09,null,null,null,null
1210,12,10,null,null,null,null
1211,12,11,null,null,null,null
1212,12,12,null,null,null,null
1213,12,13,null,null,null,null
1214,12,14,null,null,null,null
1215,12,15,null,null,null,null
1216,12,16,3,0,4,412
1217,12,17,34,15,57,135
1218,12,18,60,1,67,27
1219,12,19,14,3,16,8
1220,12,20,87,17,111,76
1221,12,21,215,15,274,149
1222,12,22,53,9,72,332
1223,12,23,288,20,382,49
1224,12,24,8,0,8,128
1225,12,25,null,null,null,null
1226,12,26,null,null,null,null
1227,12,27,null,null,null,null
1228,12,28,null,null,null,null
1229,12,29,null,null,null,null
1230,12,30,null,null,null,null
1231,12,31,null,null,null,null
1232,12,32,null,null,null,null
1300,13,00,null,null,null,null
1301,13,01,null,null,null,null
1302,13,02,null,null,null,null
1303,13,03,null,null,null,null
1304,13,04,null,null,null,null
1305,13,05,null,null,null,null
1306,13,06,null,null,null,null
1307,13,07,null,null,null,null
1308,13,08,null,null,null,null
1309,13,09,null,null,null,null
1310,13,10,null,null,null,null
1311,13,11,null,null,null,null
1312,13,12,null,null,null,null
1313,13,13,null,null,null,null
1314,13,14,null,null,null,null
1315,13,15,null,null,null,null
1316,13,16,2,0,12,106
1317,13,17,118,24,187,1
1318,13,18,67,42,142,72
1319,13,19,52,8,65,17
1320,13,20,120,4,114,148
1321,13,21,22,3,27,42
1322,13,22,0,0,0,191
1323,13,23,94,1,100,56
1324,13,24,13,0,15,278
1325,13,25,null,null,null,null
1326,13,26,null,null,null,null
1327,13,27,null,null,null,null
1328,13,28,null,null,null,null
1329,13,29,null,null,null,null
1330,13,30,null,null,null,null
1331,13,31,null,null,null,null
1332,13,32,null,null,null,null
1400,14,00,null,null,null,null
1401,14,01,null,null,null,null
1402,14,02,null,null,null,null
1403,14,03,null,null,null,null
1404,14,04,null,null,null,null
1405,14,05,null,null,null,null
1406,14,06,null,null,null,null
1407,14,07,null,null,null,null
1408,14,08,null,null,null,null
1409,14,09,null,null,null,null
1410,14,10,null,null,null,null
1411,14,11,null,null,null,null
1412,14,12,null,null,null,null
1413,14,13,null,null,null,null
1414,14,14,null,null,null,null
1415,14,15,24,9,36,120
1416,14,16,18,15,54,123
1417,14,17,88,17,138,226
1418,14,18,50,11,85,101
1419,14,19,67,2,99,147
1420,14,20,14,0,16,21
1421,14,21,6,0,6,28
1422,14,22,21,0,17,10
1423,14,23,null,null,null,null
1424,14,24,null,null,null,null
1425,14,25,null,null,null,null
1426,14,26,null,null,null,null
1427,14,27,null,null,null,null
1428,14,28,null,null,null,null
1429,14,29,null,null,null,null
1430,14,30,null,null,null,null
1431,14,31,null,null,null,null
1432,14,32,null,null,null,null
1500,15,00,null,null,null,null
1501,15,01,null,null,null,null
1502,15,02,null,null,null,null
1503,15,03,null,null,null,null
1504,15,04,null,null,null,null
1505,15,05,null,null,null,null
1506,15,06,null,null,null,null
1507,15,07,null,null,null,null
1508,15,08,null,null,null,null
1509,15,09,null,null,null,null
1510,15,10,null,null,null,null
1511,15,11,null,null,null,null
1512,15,12,null,null,null,null
1513,15,13,null,null,null,null
1514,15,14,20,6,25,66
1515,15,15,92,4,115,60
1516,15,16,141,7,208,408
1517,15,17,3,0,15,242
1518,15,18,12,6,23,132
1519,15,19,0,0,1,0
1520,15,20,57,5,67,78
1521,15,21,58,2,52,1
1522,15,22,0,0,0,57
1523,15,23,null,null,null,null
1524,15,24,null,null,null,null
1525,15,25,null,null,null,null
1526,15,26,null,null,null,null
1527,15,27,null,null,null,null
1528,15,28,null,null,null,null
1529,15,29,null,null,null,null
1530,15,30,null,null,null,null
1531,15,31,null,null,null,null
1532,15,32,null,null,null,null
1600,16,00,null,null,null,null
1601,16,01,null,null,null,null
1602,16,02,null,null,null,null
1603,16,03,null,null,null,null
1604,16,04,null,null,null,null
1605,16,05,null,null,null,null
1606,16,06,null,null,null,null
1607,16,07,null,null,null,null
1608,16,08,null,null,null,null
1609,16,09,null,null,null,null
1610,16,10,null,null,null,null
1611,16,11,null,null,null,null
1612,16,12,null,null,null,null
1613,16,13,9,0,21,556
1614,16,14,60,4,64,260
1615,16,15,154,51,282,58
1616,16,16,203,15,262,447
1617,16,17,35,18,84,185
1618,16,18,2,0,1,15
1619,16,19,58,2,71,94
1620,16,20,16,0,14,0
1621,16,21,0,0,0,15
1622,16,22,null,null,null,null
1623,16,23,null,null,null,null
1624,16,24,null,null,null,null
1625,16,25,null,null,null,null
1626,16,26,null,null,null,null
1627,16,27,null,null,null,null
1628,16,28,null,null,null,null
1629,16,29,null,null,null,null
1630,16,30,null,null,null,null
1631,16,31,null,null,null,null
1632,16,32,null,null,null,null
1700,17,00,null,null,null,null
1701,17,01,null,null,null,null
1702,17,02,null,null,null,null
1703,17,03,null,null,null,null
1704,17,04,null,null,null,null
1705,17,05,null,null,null,null
1706,17,06,null,null,null,null
1707,17,07,null,null,null,null
1708,17,08,null,null,null,null
1709,17,09,null,null,null,null
1710,17,10,null,null,null,null
1711,17,11,null,null,null,null
1712,17,12,12,2,19,510
1713,17,13,11,0,21,577
1714,17,14,38,2,70,131
1715,17,15,139,30,264,360
1716,17,16,113,22,207,259
1717,17,17,292,75,497,111
1718,17,18,77,1,95,42
1719,17,19,10,0,9,11
1720,17,20,null,null,null,null
1721,17,21,null,null,null,null
1722,17,22,null,null,null,null
1723,17,23,null,null,null,null
1724,17,24,null,null,null,null
1725,17,25,null,null,null,null
1726,17,26,null,null,null,null
1727,17,27,null,null,null,null
1728,17,28,null,null,null,null
1729,17,29,null,null,null,null
1730,17,30,null,null,null,null
1731,17,31,null,null,null,null
1732,17,32,null,null,null,null
1800,18,00,null,null,null,null
1801,18,01,null,null,null,null
1802,18,02,null,null,null,null
1803,18,03,null,null,null,null
1804,18,04,null,null,null,null
1805,18,05,null,null,null,null
1806,18,06,null,null,null,null
1807,18,07,null,null,null,null
1808,18,08,null,null,null,null
1809,18,09,null,null,null,null
1810,18,10,null,null,null,null
1811,18,11,null,null,null,null
1812,18,12,32,16,111,424
1813,18,13,14,2,25,0
1814,18,14,26,2,48,104
1815,18,15,44,9,111,141
1816,18,16,15,1,31,159
1817,18,17,63,7,108,270
1818,18,18,44,0,52,146
1819,18,19,0,0,0,297
1820,18,20,null,null,null,null
1821,18,21,null,null,null,null
1822,18,22,null,null,null,null
1823,18,23,null,null,null,null
1824,18,24,null,null,null,null
1825,18,25,null,null,null,null
1826,18,26,null,null,null,null
1827,18,27,null,null,null,null
1828,18,28,null,null,null,null
1829,18,29,null,null,null,null
1830,18,30,null,null,null,null
1831,18,31,null,null,null,null
1832,18,32,null,null,null,null
1900,19,00,null,null,null,null
1901,19,01,null,null,null,null
1902,19,02,null,null,null,null
1903,19,03,null,null,null,null
1904,19,04,null,null,null,null
1905,19,05,null,null,null,null
1906,19,06,null,null,null,null
1907,19,07,null,null,null,null
1908,19,08,null,null,null,null
1909,19,09,null,null,null,null
1910,19,10,null,null,null,null
1911,19,11,123,36,247,152
1912,19,12,99,14,163,26
1913,19,13,56,10,68,343
1914,19,14,49,5,73,498
1915,19,15,62,4,105,528
1916,19,16,5,0,10,0
1917,19,17,10,0,15,271
1918,19,18,0,0,0,226
1919,19,19,null,null,null,null
1920,19,20,null,null,null,null
1921,19,21,null,null,null,null
1922,19,22,null,null,null,null
1923,19,23,null,null,null,null
1924,19,24,null,null,null,null
1925,19,25,null,null,null,null
1926,19,26,null,null,null,null
1927,19,27,null,null,null,null
1928,19,28,null,null,null,null
1929,19,29,null,null,null,null
1930,19,30,null,null,null,null
1931,19,31,null,null,null,null
1932,19,32,null,null,null,null
2000,20,00,null,null,null,null
2001,20,01,null,null,null,null
2002,20,02,null,null,null,null
2003,20,03,null,null,null,null
2004,20,04,null,null,null,null
2005,20,05,null,null,null,null
2006,20,06,null,null,null,null
2007,20,07,null,null,null,null
2008,20,08,null,null,null,null
2009,20,09,null,null,null,null
2010,20,10,5,0,1,180
2011,20,11,72,6,149,409
2012,20,12,100,32,158,304
2013,20,13,40,5,73,48
2014,20,14,1,0,1,43
2015,20,15,0,0,0,3
2016,20,16,0,0,1,16
2017,20,17,null,null,null,null
2018,20,18,null,null,null,null
2019,20,19,null,null,null,null
2020,20,20,null,null,null,null
2021,20,21,null,null,null,null
2022,20,22,null,null,null,null
2023,20,23,null,null,null,null
2024,20,24,null,null,null,null
2025,20,25,null,null,null,null
2026,20,26,null,null,null,null
2027,20,27,null,null,null,null
2028,20,28,null,null,null,null
2029,20,29,null,null,null,null
2030,20,30,null,null,null,null
2031,20,31,null,null,null,null
2032,20,32,null,null,null,null
2100,21,00,null,null,null,null
2101,21,01,null,null,null,null
2102,21,02,null,null,null,null
2103,21,03,null,null,null,null
2104,21,04,null,null,null,null
2105,21,05,null,null,null,null
2106,21,06,null,null,null,null
2107,21,07,null,null,null,null
2108,21,08,null,null,null,null
2109,21,09,11,0,14,0
2110,21,10,13,14,46,31
2111,21,11,14,1,85,6
2112,21,12,19,4,91,36
2113,21,13,6,0,12,194
2114,21,14,0,0,0,178
2115,21,15,8,0,5,132
2116,21,16,0,0,0,61
2117,21,17,null,null,null,null
2118,21,18,null,null,null,null
2119,21,19,null,null,null,null
2120,21,20,null,null,null,null
2121,21,21,null,null,null,null
2122,21,22,null,null,null,null
2123,21,23,null,null,null,null
2124,21,24,null,null,null,null
2125,21,25,null,null,null,null
2126,21,26,null,null,null,null
2127,21,27,null,null,null,null
2128,21,28,null,null,null,null
2129,21,29,null,null,null,null
2130,21,30,null,null,null,null
2131,21,31,null,null,null,null
2132,21,32,null,null,null,null
2200,22,00,null,null,null,null
2201,22,01,null,null,null,null
2202,22,02,null,null,null,null
2203,22,03,null,null,null,null
2204,22,04,null,null,null,null
2205,22,05,null,null,null,null
2206,22,06,null,null,null,null
2207,22,07,null,null,null,null
2208,22,08,1,0,1,38
2209,22,09,19,3,30,5
2210,22,10,8,0,26,150
2211,22,11,3,0,24,76
2212,22,12,3,1,78,25
2213,22,13,0,0,0,0
2214,22,14,3,0,14,42
2215,22,15,0,0,0,52
2216,22,16,null,null,null,null
2217,22,17,null,null,null,null
2218,22,18,null,null,null,null
2219,22,19,null,null,null,null
2220,22,20,null,null,null,null
2221,22,21,null,null,null,null
2222,22,22,null,null,null,null
2223,22,23,null,null,null,null
2224,22,24,null,null,null,null
2225,22,25,null,null,null,null
2226,22,26,null,null,null,null
2227,22,27,null,null,null,null
2228,22,28,null,null,null,null
2229,22,29,null,null,null,null
2230,22,30,null,null,null,null
2231,22,31,null,null,null,null
2232,22,32,null,null,null,null
2300,23,00,null,null,null,null
2301,23,01,null,null,null,null
2302,23,02,null,null,null,null
2303,23,03,null,null,null,null
2304,23,04,null,null,null,null
2305,23,05,null,null,null,null
2306,23,06,null,null,null,null
2307,23,07,1,0,1,3
2308,23,08,1,0,0,100
2309,23,09,5,0,4,168
2310,23,10,28,10,105,174
2311,23,11,3,0,84,245
2312,23,12,20,5,116,76
2313,23,13,11,5,46,29
2314,23,14,1,2,2,21
2315,23,15,null,null,null,null
2316,23,16,null,null,null,null
2317,23,17,null,null,null,null
2318,23,18,null,null,null,null
2319,23,19,null,null,null,null
2320,23,20,null,null,null,null
2321,23,21,null,null,null,null
2322,23,22,null,null,null,null
2323,23,23,null,null,null,null
2324,23,24,null,null,null,null
2325,23,25,null,null,null,null
2326,23,26,null,null,null,null
2327,23,27,null,null,null,null
2328,23,28,null,null,null,null
2329,23,29,null,null,null,null
2330,23,30,null,null,null,null
2331,23,31,null,null,null,null
2332,23,32,null,null,null,null
2400,24,00,null,null,null,null
2401,24,01,null,null,null,null
2402,24,02,null,null,null,null
2403,24,03,null,null,null,null
2404,24,04,null,null,null,null
2405,24,05,null,null,null,null
2406,24,06,3,0,3,0
2407,24,07,1,0,12,75
2408,24,08,5,1,6,166
2409,24,09,3,0,48,339
2410,24,10,32,1,327,450
2411,24,11,18,0,116,245
2412,24,12,2,1,40,43
2413,24,13,18,0,47,35
2414,24,14,0,0,0,114
2415,24,15,null,null,null,null
2416,24,16,null,null,null,null
2417,24,17,null,null,null,null
2418,24,18,null,null,null,null
2419,24,19,null,null,null,null
2420,24,20,null,null,null,null
2421,24,21,null,null,null,null
2422,24,22,null,null,null,null
2423,24,23,null,null,null,null
2424,24,24,null,null,null,null
2425,24,25,null,null,null,null
2426,24,26,null,null,null,null
2427,24,27,null,null,null,null
2428,24,28,null,null,null,null
2429,24,29,null,null,null,null
2430,24,30,null,null,null,null
2431,24,31,null,null,null,null
2432,24,32,null,null,null,null
2500,25,00,null,null,null,null
2501,25,01,null,null,null,null
2502,25,02,null,null,null,null
2503,25,03,null,null,null,null
2504,25,04,null,null,null,null
2505,25,05,6,0,6,12
2506,25,06,7,0,1,47
2507,25,07,13,0,27,410
2508,25,08,0,1,36,466
2509,25,09,35,8,217,372
2510,25,10,31,1,338,152
2511,25,11,25,17,101,23
2512,25,12,2,0,1,220
2513,25,13,5,0,9,127
2514,25,14,null,null,null,null
2515,25,15,null,null,null,null
2516,25,16,null,null,null,null
2517,25,17,null,null,null,null
2518,25,18,null,null,null,null
2519,25,19,null,null,null,null
2520,25,20,null,null,null,null
2521,25,21,null,null,null,null
2522,25,22,null,null,null,null
2523,25,23,null,null,null,null
2524,25,24,null,null,null,null
2525,25,25,null,null,null,null
2526,25,26,null,null,null,null
2527,25,27,null,null,null,null
2528,25,28,null,null,null,null
2529,25,29,null,null,null,null
2530,25,30,null,null,null,null
2531,25,31,null,null,null,null
2532,25,32,null,null,null,null
2600,26,00,null,null,null,null
2601,26,01,null,null,null,null
2602,26,02,null,null,null,null
2603,26,03,null,null,null,null
2604,26,04,8,0,7,0
2605,26,05,8,14,46,37
2606,26,06,89,7,104,251
2607,26,07,85,12,154,423
2608,26,08,68,8,305,433
2609,26,09,18,12,316,523
2610,26,10,7,7,355,340
2611,26,11,6,12,150,109
2612,26,12,1,0,10,428
2613,26,13,0,0,0,133
2614,26,14,null,null,null,null
2615,26,15,null,null,null,null
2616,26,16,null,null,null,null
2617,26,17,null,null,null,null
2618,26,18,null,null,null,null
2619,26,19,null,null,null,null
2620,26,20,null,null,null,null
2621,26,21,null,null,null,null
2622,26,22,null,null,null,null
2623,26,23,null,null,null,null
2624,26,24,null,null,null,null
2625,26,25,null,null,null,null
2626,26,26,null,null,null,null
2627,26,27,null,null,null,null
2628,26,28,null,null,null,null
2629,26,29,null,null,null,null
2630,26,30,null,null,null,null
2631,26,31,null,null,null,null
2632,26,32,null,null,null,null
2700,27,00,null,null,null,null
2701,27,01,null,null,null,null
2702,27,02,null,null,null,null
2703,27,03,0,0,1,20
2704,27,04,0,0,2,87
2705,27,05,11,0,14,620
2706,27,06,120,19,218,543
2707,27,07,90,6,197,11
2708,27,08,174,27,604,30
2709,27,09,161,41,563,613
2710,27,10,24,1,352,75
2711,27,11,43,19,277,324
2712,27,12,10,1,49,463
2713,27,13,11,0,11,581
2714,27,14,null,null,null,null
2715,27,15,null,null,null,null
2716,27,16,null,null,null,null
2717,27,17,null,null,null,null
2718,27,18,null,null,null,null
2719,27,19,null,null,null,null
2720,27,20,null,null,null,null
2721,27,21,null,null,null,null
2722,27,22,null,null,null,null
2723,27,23,null,null,null,null
2724,27,24,null,null,null,null
2725,27,25,null,null,null,null
2726,27,26,null,null,null,null
2727,27,27,null,null,null,null
2728,27,28,null,null,null,null
2729,27,29,null,null,null,null
2730,27,30,null,null,null,null
2731,27,31,null,null,null,null
2732,27,32,null,null,null,null
2800,28,00,null,null,null,null
2801,28,01,null,null,null,null
2802,28,02,2,0,11,75
2803,28,03,0,0,0,55
2804,28,04,0,0,0,404
2805,28,05,0,0,3,523
